member_id	start_date	DURATION	INT_MEAN	INT_PEAK	AUC	log_SEVERITY_1	log_SEVERITY_2	MV [D,I]	COMPINDX_k3_ss404	COMPINDX_k4_ss355	COMPINDX_k5_ss372
r10i1181p1f1	1990-06-20	3	1.344	1.523	0.729	2.077393051971457	1.5661117676770642	(3, 1.344)	0	3	3
r10i1181p1f1	1993-07-27	3	1.593	1.915	1.476	2.2275889675581926	2.159813538506554	(3, 1.593)	1	0	0
r10i1181p1f1	1993-08-02	8	1.476	1.742	2.999	3.538000385156068	4.232069991396897	(8, 1.476)	1	0	1
r10i1181p1f1	1994-06-28	11	1.648	2.092	6.009	4.112900893599067	5.394652393824478	(11, 1.648)	2	2	2
r10i1181p1f1	1994-08-18	3	1.475	1.561	1.121	2.159214000165383	1.9205757645020043	(3, 1.475)	0	3	0
r10i1181p1f1	1998-06-07	6	1.465	1.919	2.184	3.11489279732958	3.499476289503086	(6, 1.465)	1	0	0
r10i1181p1f1	1998-07-18	3	1.463	1.502	1.085	2.151991362398152	1.8927844066300867	(3, 1.463)	0	3	0
r10i1181p1f1	1998-08-25	5	1.197	1.366	0.48	2.666037695797924	1.8510597864616276	(5, 1.197)	0	3	3
r10i1181p1f1	2000-05-31	5	1.326	1.505	1.121	2.7615992265	2.6051430448944473	(5, 1.326)	0	3	3
r10i1181p1f1	2000-07-15	4	1.377	1.625	1.102	2.4862390950217788	2.28401370740861	(4, 1.377)	0	3	0
r10i1181p1f1	2001-06-28	4	1.492	1.842	1.562	2.5600141222748056	2.602393345243667	(4, 1.492)	1	0	0
r10i1181p1f1	2002-07-15	3	1.58	1.992	1.436	2.2202812539084946	2.1355471302653513	(3, 1.58)	1	0	0
r10i1181p1f1	2003-07-09	4	1.171	1.347	0.28	2.3387241396099188	1.1755733298042381	(4, 1.171)	0	3	3
r10i1181p1f1	2003-08-02	3	1.753	1.957	1.956	2.313411791903212	2.412665126678946	(3, 1.753)	1	1	4
r10i1181p1f1	2003-08-07	6	1.404	1.804	1.818	3.074289336351426	3.322119329352391	(6, 1.404)	1	0	0
r10i1181p1f1	2005-08-24	3	1.423	1.554	0.967	2.127532044180204	1.7958642651405032	(3, 1.423)	0	3	0
r10i1181p1f1	2006-07-23	7	1.332	1.822	1.612	3.2452834625226235	3.4292877209337873	(7, 1.332)	1	0	1
r10i1181p1f1	2007-08-27	7	1.391	1.893	2.026	3.286971032833657	3.6512306772526446	(7, 1.391)	1	0	1
r10i1181p1f1	2008-06-04	4	1.322	1.372	0.882	2.448933989329183	2.086417155416261	(4, 1.322)	0	3	3
r10i1181p1f1	2008-08-24	4	1.362	1.512	1.042	2.476202209157854	2.233877894984255	(4, 1.362)	0	3	3
r10i1181p1f1	2009-08-02	7	1.625	1.981	3.666	3.4370605788719018	4.232587527543332	(7, 1.625)	1	1	4
r10i1181p1f1	2010-06-08	5	1.17	1.366	0.345	2.6448262053484672	1.580465693923226	(5, 1.17)	0	3	3
r10i1181p1f1	2010-06-25	10	1.456	1.968	3.55	3.851057033414458	4.729693626752546	(10, 1.456)	1	0	1
r10i1231p1f1	1851-08-26	3	1.441	1.566	0.996	2.1386128304038983	1.8205684456009843	(3, 1.441)	0	3	0
r10i1231p1f1	1853-05-31	5	1.828	2.177	3.598	3.065149249765396	3.719090056393046	(5, 1.828)	1	1	4
r10i1231p1f1	1853-07-24	3	1.211	1.338	0.306	1.9868519878999251	0.95166661750653	(3, 1.211)	0	3	3
r10i1231p1f1	1856-06-16	4	1.587	1.917	1.913	2.6171038193993863	2.791410476480369	(4, 1.587)	1	0	0
r10i1231p1f1	1856-07-24	3	1.319	1.357	0.632	2.0609879473370127	1.4548797602030414	(3, 1.319)	0	3	3
r10i1231p1f1	1857-06-19	8	1.48	2.058	2.969	3.5406281723139355	4.222163015936298	(8, 1.48)	1	0	1
r10i1231p1f1	1857-07-27	3	1.735	1.824	1.88	2.3041163653375025	2.376649958582622	(3, 1.735)	1	1	0
r10i1231p1f1	1857-08-29	5	1.287	1.464	0.89	2.7336592999459226	2.3933853456090355	(5, 1.287)	0	3	3
r10i1231p1f1	1858-08-10	9	1.639	2.029	4.772	3.8122689662908384	4.866333729879064	(9, 1.639)	2	1	1
r10i1231p1f1	1858-08-21	4	1.39	1.67	1.125	2.4948569806411682	2.302585092994046	(4, 1.39)	0	0	0
r10i1231p1f1	1859-06-05	3	1.276	1.365	0.5	2.032125916835549	1.2803993168919292	(3, 1.276)	0	3	3
r10i1231p1f1	1860-06-01	7	1.685	1.859	4.035	3.4721725404434416	4.327164423760402	(7, 1.685)	1	1	4
r10i1231p1f1	1860-07-27	5	1.43	1.633	1.608	2.832500504112271	2.9432797042615224	(5, 1.43)	0	0	0
r10i1231p1f1	1863-06-07	3	1.221	1.318	0.336	1.9939520208237795	1.0101115172736006	(3, 1.221)	0	3	3
r10i1231p1f1	1863-06-17	3	1.239	1.291	0.39	2.0066064122360014	1.1074066529217297	(3, 1.239)	0	3	3
r10i1231p1f1	1864-07-17	3	1.501	1.725	1.176	2.174686354175339	1.9615972110500632	(3, 1.501)	1	0	0
r10i1231p1f1	1864-07-23	3	1.415	1.705	0.919	2.1225675612702424	1.7535839828892075	(3, 1.415)	0	0	0
r10i1231p1f1	1866-06-16	3	1.493	1.728	1.154	2.16995107670417	1.9453899989154602	(3, 1.493)	0	0	0
r10i1231p1f1	1866-06-24	5	1.504	1.778	1.976	2.8800537762847607	3.139501463901482	(5, 1.504)	1	0	0
r10i1231p1f1	1866-08-26	3	1.518	1.802	1.226	2.184674979251309	1.9974832224048533	(3, 1.518)	1	0	0
r10i1231p1f1	1868-06-29	4	1.521	1.778	1.647	2.577789643934714	2.651550393862725	(4, 1.521)	1	0	0
